OPEID6,INSTNM,C150_4,ADM_RATE,SATVR25,SATMT25,COSTT4_A,NPT4_PUB,NPT4_PRIV,UGDS,LOCALE,CITY,STABBR,PCIP27,PCIP52,CIP27BACHL,CIP52BACHL
3827,West Virginia University,0.3929,0.89,520,490,26415,15634,,17385,13,Morgantown,WV,0.004,0.1748,1,1
6639,Bellin College,0.3152,0.9718,,,42941,,37408,372,22,Green Bay,WI,,,,
3835,Beloit College,0.2612,0.6304,590,610,71365,,21526,926,13,Beloit,WI,0.0179,0.0536,1,1
3838,Carroll University,0.3381,0.6684,510,530,52639,,15193,2523,13,Waukesha,WI,0.0104,0.1226,1,1
3839,Carthage College,0.3862,0.8706,,,50822,,26565,2660,13,Kenosha,WI,0.0267,0.2366,1,1
3848,Edgewood College,0.2615,0.7573,,,50903,,26113,1107,11,Madison,WI,,0.1378,1,1
3854,Lakeland University,0.1975,0.8628,,,48840,,24212,1212,41,Plymouth,WI,0.0029,0.4841,2,2
3856,Lawrence University,0.1627,0.6394,610,590,69849,,23401,1396,13,Appleton,WI,0.022,0.0137,1,1
23172,Maratha Baptist University,0.1,0.719,485,455,37092,,26005,541,31,Watertown,WI,0.0061,0.1455,1,2
3861,Marian University,,0.7498,,,44450,,21937,1010,13,Fond Du Lac,WI,0.0109,0.1964,1,2
20771,Milwaukee Institute of Art & Design,,0.6054,,,53528,,26541,837,11,Milwaukee,WI,,,,
3868,Milwaukee School of Engineering,0.6852,0.5893,,,62648,,22453,2654,11,Milwaukee,WI,,0.0884,,1
3884,Ripon College,0.397,0.7984,510,470,63540,,20216,688,32,Ripon,WI,0.0231,0.1615,1,1
3892,Saint Norbert College,0.855,0.8574,525,508,59422,,26172,1662,22,De Pere,WI,0.0051,0.2959,1,1
3911,Viterbo University,,0.7243,,,45558,,21260,1249,13,La Crosse,WI,0.0051,0.141,1,2
3917,University of Wisconsin-Eau Claire,,0.8234,,,21705,16550,,8895,13,Eau Claire,WI,0.0092,0.2372,1,1
3899,University of Wisconsin-Green Bay,,0.8859,,,19366,13369,,6341,12,Green Bay,WI,0.0039,0.188,1,1
3919,University of Wisconsin-La Crosse,0.5763,0.755,,,19593,16210,,9277,13,La Crosse,WI,0.0124,0.2661,1,1
21366,Wisconsin Lutheran College,0.6569,0.7816,530,440,48785,,23245,943,11,Milwaukee,WI,0.0043,0.2217,1,2
3920,University of Wisconsin-Oshkosh,,0.865,,,19652,14305,,6877,13,Oshkosh,WI,0.0101,0.1797,1,2
5015,University of Wisconsin-Parkside,0.5714,0.7539,,,18199,11772,,2844,41,Kenosha,WI,0.0066,0.2106,1,1
3915,University of Wisconsin-Stout,0.7884,0.8767,,,22797,17490,,5842,32,Menomonie,WI,0.0132,0.2246,1,2
3925,University of Wisconsin-Superior,0.6859,0.9301,,,19860,12220,,1807,22,Superior,WI,0.0066,0.1211,1,1
3896,University of Wisconsin-Milwaukee,,0.9068,,,22756,15014,,16758,11,Milwaukee,WI,0.0046,0.1984,1,1
3921,University of Wisconsin-Platteville,,0.8938,,,21266,16032,,5837,32,Platteville,WI,0.0039,0.1576,1,1
3923,University of Wisconsin-River Falls,0.7979,0.8172,,,19781,14054,,4205,32,River Falls,WI,0.0108,0.1385,1,1
3924,University of Wisconsin-Stevens Point,0.6736,0.918,,,20079,14559,,7306,32,Stevens Point,WI,0.0124,0.1125,1,1
3932,University of Wyoming,0.8174,0.9688,,,24818,13599,,7944,33,Laramie,WY,0.009,0.1688,1,1
3935,University of Guam,0.5,,,,14961,8598,,2515,22,Mangilao,GU,0.0189,0.2123,1,1
5019,Universidad Adventista de las Antillas,,1,,,16834,,9919,830,23,Mayaguez,PR,,0.0851,,1
25054,Atlantic University,,,,,12986,,6425,1451,13,Guaybo,PR,,,,
5022,Universidad Central de Bayamon,,0.6594,,,12976,,4827,539,12,BayamÃ³n,PR,,0.2636,,1
10724,Albizu University-San Juan,0.7328,1,,,18382,,9732,728,11,San Juan,PR,,,,
12525,Caribbean University-Caroli,,,,,10710,,5791,99,21,Caroli,PR,,0.125,,1
3936,Pontifical Catholic University of Puerto Rico-Arecibo,,0.9378,,,18678,,11117,273,23,Arecibo,PR,,0.0702,,1
3936,Pontifical Catholic University of Puerto Rico-Ponce,0.9186,0.9808,595,600,20508,,13192,3874,12,Ponce,PR,,0.1243,1,1
23355,Universidad Teologica del Caribe,0.6952,,,,11510,,9045,173,21,Trujillo Alto,PR,,,,
10567,Colegio Universitario de San Juan,0.6554,0.7538,,,6024,-778,,491,11,San Juan,PR,,0.125,,1
25875,Universidad A G. Mendez-Cupey Campus,,,,,14214,,7646,4540,11,San Juan,PR,,0.2205,,1
10819,Puerto Rico Conservatory of Music,0.7051,0.7835,,,12920,7260,,307,11,San Juan,PR,,,,
25694,Escuela de Artes Plasticas y Diseno de Puerto Rico,,1,,,9057,5669,,466,11,San Juan,PR,,,,
42542,Inter American University of Puerto Rico-San German,,0.4248,,,16380,,9148,2569,23,San German,PR,0.0018,0.1362,1,1
3939,Inter American University of Puerto Rico-Aguadilla,0.9569,0.4176,,,16057,,8742,2906,22,Aguadilla,PR,,0.1184,,1
5026,Inter American University of Puerto Rico-Arecibo,0.7975,0.382,,,16625,,9217,2220,13,Arecibo,PR,,0.1345,,1
5027,Inter American University of Puerto Rico-Barranquitas,0.5541,0.8595,,,16051,,8726,937,21,Barranquitas,PR,,0.1556,,1
3940,Inter American University of Puerto Rico-Metro,0.5954,0.6972,,,16837,,9788,2607,11,San Juan,PR,,0.1823,1,1
5029,Inter American University of Puerto Rico-Ponce,,0.3373,,,16065,,9026,2404,41,Mercedita,PR,,0.2253,,1
22828,Inter American University of Puerto Rico-Fajardo,0.8582,0.2654,,,16190,,9230,1072,23,Fajardo,PR,,0.0929,,1
5028,Inter American University of Puerto Rico-Bayamon,,0.3962,,,16324,,9284,3476,12,Bayamon,PR,,0.1216,,1
12123,University of Puerto Rico-Aguadilla,,0.814,393,398,14498,7765,,1883,22,Aguadilla,PR,,0.3361,,1
7228,University of Puerto Rico-Arecibo,0.1331,0.5918,,,17710,10680,,2669,13,Arecibo,PR,,0.1646,,1
10975,University of Puerto Rico-Bayamon,0.6568,0.3533,,,12501,8484,,2851,12,Bayamon,PR,,0.3618,,1
30160,University of Puerto Rico-Caroli,0.4724,0.5454,411,398,19396,12945,,2404,21,Caroli,PR,,0.2706,,1
7206,University of Puerto Rico at Cayey,,0.53,421,422,15909,10176,,2069,21,Cayey,PR,0.0142,0.2295,1,1
3943,University of Puerto Rico-Humacao,0.2426,0.548,,,19547,12675,,2529,21,Humacao,PR,0.005,0.2095,1,1
